 terminal/gotop , ❌(smoke) 
 terminal/buku , ❌(smoke) 
 terminal/td-cli , ✅(8s) 
 terminal/invoice , ✅(1s) 
 filesystem/tokei , ✅(2s) 
 filesystem/dust , ✅(2s) 
 filesystem/ismc , ✅(3s) 
 filesystem/magic-wormhole , ❌(smoke) 
 filesystem/broot , - 
 filesystem/rclone , ✅(3s) 
 filesystem/ncp , ❌(smoke) 
 filesystem/trash-cli , ✅(11s) 
 filesystem/fd , ❌(env_try) 
 filesystem/lf , ✅(1s) 
 filesystem/dua , ✅(2s) 
 filesystem/duf , ✅(2s) 
 lang/deno , ❌(env_try) 
 lang/zig , ✅(11s) 
 lang/go , ✅(16s) 
 lang/wasmtime , ✅(2s) 
 lang/python , ✅(4s) 
 lang/tsx , ✅(31s) 
 lang/perl , ✅(3s) 
 lang/rust , ❌(env_try) 
 lang/ts-node , ✅(54s) 
 lang/java , ✅(4s) 
 lang/kotlin , ❌(env_try) 
 lang/bun , ✅(3s) 
 lang/lua , ✅(3s) 
 lang/goreleaser , ✅(3s) 
 lang/wasmer , ✅(6s) 
 lang/scala , ❌(smoke) 
 lang/julia , ✅(12s) 
 lang/groovy , ❌(env_try) 
 lang/raku , ✅(6s) 
 lang/node , ✅(39s) 
 lang/mawk , ✅(2s) 
 container/kube-score , ✅(2s) 
 container/bwrap , - 
 container/kube-linter , ✅(2s) 
 container/k3d , ✅(3s) 
 container/minikube , ✅(4s) 
 container/kube-capacity , ✅(2s) 
 container/kind , ✅(2s) 
 container/kubectx , ✅(2s) 
 container/helm , ✅(3s) 
 container/ctop , ✅(2s) 
 webserver/playwright , ✅(54s) 
 webserver/browser-run , ✅(40s) 
 webserver/capture-website-cli , ✅(44s) 
 webserver/serve , ✅(32s) 
 webserver/nodemon , ✅(31s) 
 ssh/xxh-xxh , ✅(27s) 
 iac/terraform , ✅(3s) 
 iac/ansible , ✅(43s) 
 iac/python-openstackclient , ✅(23s) 
 ai/llm , ✅(16s) 
 ai/chatblade , ❌(smoke) 
 ai/how2 , ✅(34s) 
 cloud/gcloud , ❌(smoke) 
 cloud/tccli , ✅(31s) 
 cloud/doctl , ✅(3s) 
 cloud/qshell , ✅(3s) 
 cloud/ibmcloud , ✅(2s) 
 cloud/azure-cli , ❌(env_try) 
 cloud/aliyun , ✅(2s) 
 cloud/create-cloudflare , ✅(32s) 
 cloud/wrangler , ✅(35s) 
 cloud/s4cmd , ✅(18s) 
 cloud/linode-cli , ✅(12s) 
 cloud/ucloud , ✅(3s) 
 cloud/awscli , ✅(15s) 
 cloud/oci-cli , ✅(47s) 
 cloud/qingcloud-cli , ✅(12s) 
 cloud/vultr-cli , ✅(2s) 
 cloud/s3cmd , ✅(8s) 
 cloud/flarectl , ✅(2s) 
 cloud/jdcloud_cli , ✅(29s) 
 cloud/athenacli , ❌(smoke) 
 cloud/koocli , ✅(3s) 
 cloud/firebase-tools , ✅(46s) 
 cloud/hcloud , ✅(2s) 
 multimedia/agg , ✅(2s) 
 multimedia/ffmpeg , ✅(3s) 
 multimedia/mystmd , ✅(54s) 
 multimedia/pageres-cli , ✅(54s) 
 multimedia/termsvg , ✅(1s) 
 multimedia/pdfcpu , ✅(1s) 
 multimedia/face_recognition , ✅(394s) 
 multimedia/beets , ✅(11s) 
 multimedia/editly , ❌(env_try) 
 multimedia/carbon-now-cli , ✅(66s) 
 multimedia/mermaid-cli , ❌(env_try) 
 multimedia/ocrmypdf , ✅(16s) 
 multimedia/qpdf , - 
 multimedia/magick , ❌(smoke) 
 multimedia/themer , ✅(32s) 
 db/mycli , ✅(13s) 
 db/xlsxsql , ✅(2s) 
 db/mssql-cli , ❌(smoke) 
 db/pgcli , ✅(11s) 
 db/iredis , ✅(14s) 
 db/mysql , ✅(17s) 
 db/litecli , ✅(10s) 
 db/mkdocs , ✅(9s) 
 db/datasette , ✅(11s) 
 data/7zz , ✅(0s) 
 data/7za , ✅(1s) 
 data/micro , ✅(2s) 
 data/sd , - 
 data/yq , ✅(0s) 
 data/pandoc , ✅(3s) 
 data/jqp , ✅(2s) 
 data/sqlean , - 
 data/ascii-image-converter , ✅(1s) 
 data/pygments , ✅(9s) 
 data/ws4sqlite , ✅(3s) 
 data/nanoid , ✅(30s) 
 data/mackup , ✅(8s) 
 data/csview , ✅(2s) 
 data/jiq , ✅(2s) 
 data/unidecode , ✅(8s) 
 data/fx , ✅(2s) 
 data/marked , ✅(30s) 
 data/hcl2json , ✅(1s) 
 data/jless , ✅(2s) 
 data/rg , ✅(2s) 
 data/grex , ✅(2s) 
 data/decktape , ✅(42s) 
 data/wtfutil , ✅(2s) 
 data/readability-cli , ✅(55s) 
 data/upx , - 
 data/trafilatura , ✅(29s) 
 data/migrate , ✅(3s) 
 data/sqlite3 , ✅(0s) 
 data/csvkit , ✅(19s) 
 data/sphinx , ✅(12s) 
 data/zstd , ✅(2s) 
 data/stylelint , ✅(33s) 
 data/brook , ✅(2s) 
 data/difft , ✅(2s) 
 data/trdsql , ✅(2s) 
 data/qrencode , ❌(smoke) 
 data/xsv , ✅(2s) 
 data/eslint , ✅(31s) 
 data/dasel , ✅(2s) 
 data/marp-cli , ✅(39s) 
 data/jq , ✅(0s) 
 data/fzf , ✅(2s) 
 data/franc-cli , ✅(31s) 
 data/pypinyin , ❌(smoke) 
 data/ytt , ✅(2s) 
 data/fanyi , ✅(34s) 
 git/tig , ✅(2s) 
 git/soft-serve , ✅(2s) 
 git/gh , ✅(3s) 
 git/bit , ✅(2s) 
 git/lefthook , ❌(smoke) 
 git/czg , ✅(31s) 
 git/lazygit , ✅(2s) 
 git/gitui , ✅(2s) 
 git/gix , ✅(2s) 
 git/act , ✅(1s) 
 git/tea , ✅(3s) 
 git/gitea , ✅(6s) 
 git/glab , ❌(env_try) 
 git/act_runner , ✅(5s) 
 git/gitleaks , ✅(2s) 
 git/pre-commit , ✅(9s) 
