 data/franc-cli , ✅(3s)
 data/pygments , ✅(4s)
 data/zstd , ✅(1s)
 data/csview , ✅(1s)
 data/typst , ✅(2s)
 data/marked , ✅(1s)
 data/7zz , ✅(0s)
 data/trafilatura , ✅(7s)
 data/sphinx , ✅(8s)
 data/ag , ✅(3s)
 data/mdcat , ✅(1s)
 data/hcl2json , ✅(1s)
 data/jqp , ✅(1s)
 data/ytt , ✅(1s)
 iac/python-openstackclient , ✅(14s)
 iac/ansible , ✅(27s)
 iac/pyinfra , ✅(8s)
 iac/heroku , ✅(34s)
 iac/terraform , ✅(2s)
 iac/scw , ✅(1s)
 multimedia/magick , ✅(1s)
 multimedia/themer , ✅(4s)
 multimedia/face_recognition , ✅(323s)
 multimedia/beets , ✅(6s)
 multimedia/gifski , ✅(1s)
 multimedia/ffmpeg , ✅(4s)
 multimedia/mermaid-cli , ✅(12s)
 multimedia/pdfcpu , ✅(1s)
 multimedia/editly , ❌(env_try) , -
 multimedia/video-to-ascii , ❌(env_try) , -
 multimedia/termsvg , ✅(1s)
 multimedia/mystmd , ✅(3s)
 multimedia/ascii-image-converter , ✅(1s)
 multimedia/carbon-now-cli , ❌(smoke) , -
 multimedia/ocrmypdf , ✅(9s)
 multimedia/pageres-cli , ✅(18s)
 multimedia/agg , ✅(1s)
 multimedia/qpdf , ✅(1s)
 terminal/glow , ✅(1s)
 terminal/helix , ✅(2s)
 terminal/terminal-image-cli , ✅(4s)
 terminal/shtris , ✅(1s)
 terminal/nb.sh , ✅(3s)
 terminal/rebound-cli , ✅(5s)
 terminal/td-cli , ✅(5s)
 terminal/watchexec , ✅(1s)
 terminal/doitlive , ✅(5s)
 terminal/invoke , ✅(4s)
 terminal/gum , ✅(1s)
 terminal/sncli , ✅(6s)
 terminal/norwegianblue , ✅(6s)
 terminal/zellij , ✅(1s)
 terminal/viddy , ✅(1s)
 terminal/thefuck , ✅(5s)
 terminal/epr-reader , ✅(4s)
 terminal/delta , ✅(1s)
 terminal/concurrently , ✅(12s)
 terminal/glances , ✅(4s)
 terminal/emoj , ✅(3s)
 terminal/doit , ✅(5s)
 terminal/cookiecutter , ✅(6s)
 terminal/invoice , ✅(1s)
 terminal/tmuxp , ✅(5s)
 terminal/easy-sharing , ✅(4s)
 terminal/envsubst , ✅(1s)
 terminal/gotop , ✅(1s)
 terminal/navi , ✅(1s)
 terminal/vhs , ✅(5s)
 terminal/zenith , ✅(1s)
 terminal/dnote , ✅(1s)
 terminal/mapscii , ✅(6s)
 terminal/asciinema , ✅(11s)
 terminal/ddgr , ✅(4s)
 terminal/direnv , ✅(1s)
 terminal/bpytop , ✅(5s)
