 network/bore , ✅(1s) 
 network/mitmproxy , ❌(env_try) 
 network/grpcurl , ✅(1s) 
 network/tproxy , ✅(2s) 
 network/xh , ✅(1s) 
 network/curlie , ❌(smoke) 
 network/serviceman , ✅(1s) 
 network/shodan , ✅(6s) 
 network/tcping , ✅(2s) 
 network/youtube-dl , ✅(5s) 
 network/wetty , ✅(10s) 
 network/gost , ✅(2s) 
 network/socat , ✅(1s) 
 network/localtunnel , ✅(2s) 
 network/q , ✅(2s) 
 network/curl , ✅(0s) 
 network/bandwhich , ✅(1s) 
 network/benthos , ✅(4s) 
 network/termshark , ❌(smoke) 
 network/duckduckgo_search , ✅(13s) 
 network/wuzz , ✅(1s) 
 network/chisel , ✅(2s) 
 network/yt-dlp , ✅(10s) 
 network/certbot , ✅(7s) 
 network/aria2 , ✅(2s) 
 network/public-ip-cli , ❌(env_try) 
 network/zoomeye , ✅(5s) 
 network/mosquitto , ✅(1s) 
 network/is-up-cli , ❌(env_try) 
 network/t-get , ❌(smoke) 
 network/doggo , ✅(2s) 
 network/miniserve , ✅(1s) 
 network/websocat , ✅(2s) 
 network/trippy , ✅(1s) 
 network/brook , ❌(env_try) 
 network/zoro , ✅(1s) 
 network/fast-cli , ✅(5s) 
 iac/dagger , ✅(1s) 
 iac/python-openstackclient , ❌(env_try) 
 finance/hledger , ✅(4s) 
 ai/aichat , ✅(2s) 
 ai/chatgpt , ✅(2s) 
 ai/claude-code-router , ✅(2s) 
 ai/browser-use , ✅(69s) 
 ai/opencode , ✅(8s) 
 ai/claude-code , ✅(3s) 
 ai/agent-browser , ✅(2s) 
 ai/how2 , ✅(8s) 
 ai/gpt-engineer , ✅(65s) 
 ai/crush , ✅(3s) 
 ai/aider , ✅(48s) 
 ai/chatblade , ✅(14s) 
 ai/gptscript , ✅(1s) 
 ai/mcp-cli , ✅(8s) 
 ai/gemini-cli , ✅(5s) 
 ai/huggingface , ✅(8s) 
 ai/gptui , ❌(smoke) 
 ai/open-interpreter , ✅(84s) 
 ai/codex , ✅(5s) 
 ai/whispercpp , ✅(2s) 
 ai/catai , ✅(15s) 
 ai/llm , ✅(11s) 
 ai/copilot , ✅(5s) 
 ai/openspec , ✅(3s) 
 web/webtorrent-cli , ✅(10s) 
 web/buku , ❌(smoke) 
 linter/gofumpt , ✅(1s) 
 linter/cspell , ✅(4s) 
 linter/dotenv-linter , ✅(1s) 
