 container/slim , ✅(3s) 
 container/lazydocker , ✅(2s) 
 container/slick , ✅(2s) 
 container/dive , ✅(1s) 
 container/kind , ✅(2s) 
 container/k3d , ✅(2s) 
 ssh/xxh-xxh , ✅(11s) 
 ssh/ssh-audit , ✅(4s) 
 ssh/assh , ✅(2s) 
 security/skate , ✅(2s) 
 security/shodan , ✅(6s) 
 security/snyk , ✅(8s) 
 security/trivy , ✅(5s) 
 security/smartctl , ✅(2s) 
 security/dnstwist , ✅(4s) 
 security/age , ✅(2s) 
 security/sodium , ❌(smoke) 
 security/mc , ✅(2s) 
 security/chezmoi , ✅(3s) 
 security/pip-audit , ✅(7s) 
 security/osv-scanner , ✅(2s) 
 security/grype , ✅(3s) 
 security/certbot , ✅(7s) 
 security/tfsec , ✅(5s) 
 security/zoomeye , ✅(12s) 
 security/cmctl , ✅(2s) 
 security/lynis , ❌(env_try) 
 security/stegcloak , ✅(7s) 
 security/openssl , ✅(1s) 
 security/osquery , ✅(11s) 
 editor/helix , ❌(env_try) 
 editor/micro , ✅(2s) 
 editor/nvim , ✅(2s) 
 editor/bed , ✅(2s) 
 editor/sops , ✅(2s) 
 cloud/firebase-tools , ✅(13s) 
 cloud/s4cmd , ✅(7s) 
 cloud/influxdb , ✅(4s) 
 cloud/azure-cli , ✅(60s) 
 cloud/qshell , ✅(2s) 
 cloud/influx , ✅(3s) 
 cloud/drive , ✅(2s) 
 cloud/athenacli , ✅(9s) 
 cloud/koocli , ❌(env_try) 
 cloud/qingcloud-cli , ✅(6s) 
 cloud/jdcloud_cli , ✅(15s) 
 cloud/scw , ❌(smoke) 
 cloud/flarectl , ✅(1s) 
 cloud/aliyun , ✅(2s) 
 cloud/create-cloudflare , ✅(2s) 
 cloud/ibmcloud , ✅(3s) 
 cloud/tccli , ✅(22s) 
 cloud/hcloud , ✅(2s) 
 cloud/awscli , ✅(16s) 
 cloud/wrangler , ✅(7s) 
 cloud/gobackup , ✅(2s) 
 cloud/vultr-cli , ✅(2s) 
 cloud/fastly , ✅(2s) 
 cloud/gcloud , ✅(16s) 
 cloud/oci-cli , ✅(32s) 
 cloud/cloudlist , ✅(3s) 
 cloud/linode-cli , ✅(6s) 
 cloud/ucloud , ✅(2s) 
 cloud/doctl , ✅(3s) 
 cloud/s3cmd , ✅(4s) 
 plugin/sqlite-simple , ❌(smoke) 
 plugin/zsh-plugin , ✅(2s) 
 plugin/sqlite-vss , ❌(smoke) 
 plugin/sqlite-xsv , ❌(smoke) 
 reader/haxor-news , ✅(6s) 
 reader/glow , ✅(2s) 
 reader/epr , ✅(4s) 
 cicd/act , ✅(2s) 
 cicd/act_runner , ✅(2s) 
 sdkman/ant , ✅(6s) 
 sdkman/pomchecker , ✅(3s) 
 sdkman/btrace , ✅(2s) 
 sdkman/cxf , ❌(env_try) 
 sdkman/mulefd , ✅(2s) 
 sdkman/spark , ❌(env_try) 
 sdkman/concurnas , ✅(55s) 
 sdkman/kscript , ❌(env_try) 
 sdkman/mvnd , ✅(4s) 
 sdkman/ki , ✅(6s) 
 sdkman/ktx , ✅(4s) 
 sdkman/karaf , ❌(env_try) 
 sdkman/mybatis_migrations , ✅(2s) 
 sdkman/jbake , ✅(4s) 
 sdkman/coursier , ✅(3s) 
 sdkman/infrastructor , ✅(3s) 
 sdkman/schemacrawler , ✅(8s) 
 sdkman/toolkit , ✅(2s) 
 sdkman/hadoop , ✅(43s) 
 sdkman/activemq , ❌(env_try) 
 sdkman/micronaut , ✅(2s) 
 sdkman/gaiden , ✅(6s) 
 sdkman/quarkus , ✅(3s) 
 sdkman/flink , ✅(31s) 
 sdkman/groovyserv , ❌(env_try) 
 sdkman/doctoolchain , ✅(6s) 
 sdkman/pierrot , ✅(2s) 
 sdkman/gradle , ✅(5s) 
 sdkman/layrry , ✅(2s) 
 sdkman/connor , ✅(2s) 
 sdkman/skeletal , ✅(5s) 
 sdkman/maven , ✅(2s) 
 sdkman/mcs , ✅(2s) 
 sdkman/sbt , ✅(14s) 
 sdkman/visualvm , ✅(3s) 
 sdkman/grails , ✅(7s) 
 sdkman/kobweb , ✅(2s) 
 sdkman/ballerina , ✅(8s) 
 sdkman/jmeter , ❌(env_try) 
 sdkman/bpipe , ✅(12s) 
 sdkman/neo4j_migrations , ✅(2s) 
 common/busybox , ✅(2s) 
 common/vhs , ✅(8s) 
 common/buku , ❌(env_try) 
 common/joker , ✅(1s) 
 common/ov , ✅(2s) 
 common/hyperfine , ✅(1s) 
 common/pueue , ✅(2s) 
 common/g , ✅(2s) 
 common/zellij , ✅(3s) 
 common/zx , ✅(5s) 
 common/zoxide , ✅(1s) 
 common/direnv , ✅(2s) 
 common/cppman , ✅(5s) 
 common/shtris , ❌(env_try) 
 common/starship , ✅(2s) 
 common/genact , ✅(2s) 
 common/just , ✅(1s) 
 common/norwegianblue , ✅(7s) 
 common/powerline-go , ✅(1s) 
 common/bat , ✅(2s) 
 common/carbonyl , ✅(6s) 
 common/sampler , ✅(2s) 
 common/asciinema , ✅(4s) 
 common/exa , ✅(0s) 
 common/thefuck , ✅(5s) 
 common/eza , ✅(2s) 
 common/navi , ✅(2s) 
 common/reviewdog , ✅(2s) 
 common/dnote , ✅(2s) 
 common/gcalcli , ✅(14s) 
 common/gotty , ✅(2s) 
 common/concurrently , ✅(8s) 
 common/td-cli , ✅(4s) 
 common/doitlive , ✅(5s) 
 common/khal , ✅(7s) 
 common/invoice , ✅(2s) 
 common/taskbook , ✅(3s) 
 common/tmux , ✅(1s) 
 git/bit , ✅(1s) 
 git/pre-commit , ✅(5s) 
 git/gitleaks , ✅(1s) 
 git/glab , ✅(3s) 
 git/czg , ✅(1s) 
 git/tea , ✅(2s) 
 git/git-chglog , ✅(2s) 
 git/lazygit , ✅(2s) 
 git/gh , ✅(3s) 
 git/gitui , ✅(2s) 
 git/gitea , ✅(5s) 
 git/lefthook , ✅(2s) 
 git/onefetch , ✅(1s) 
 git/gix , ✅(3s) 
 git/delta , ✅(2s) 
 git/soft-serve , ✅(2s) 
 git/tig , ✅(1s) 
 shell/nushell , ✅(4s) 
 shell/zsh , ✅(2s) 
 shell/xonsh , ✅(5s) 
 shell/elvish , ✅(2s) 
 shell/murex , ✅(3s) 
 lint/oxlint , ✅(4s) 
 lint/hadolint , ✅(2s) 
 test/locust , ✅(16s) 
 test/loadtest , ✅(3s) 
 test/oha , ✅(2s) 
 test/py-spy , ✅(4s) 
 test/hey , ✅(2s) 
 test/goss , ✅(2s) 
 filesystem/dust , ✅(2s) 
 filesystem/trash-cli , ✅(6s) 
 filesystem/syncthing , ✅(2s) 
 filesystem/scc , ✅(2s) 
 filesystem/fd , ✅(1s) 
 filesystem/godu , ✅(2s) 
 filesystem/ncp , ✅(1s) 
 filesystem/fselect , ✅(2s) 
 filesystem/hexyl , ✅(2s) 
 filesystem/diskusage , ✅(1s) 
 filesystem/ffsend , ✅(2s) 
 filesystem/qrcp , ✅(3s) 
 filesystem/broot , ✅(2s) 
 filesystem/ncdu , ✅(2s) 
 filesystem/tokei , ✅(1s) 
 filesystem/dua , ✅(2s) 
 filesystem/lf , ✅(2s) 
 filesystem/yazi , ✅(2s) 
 filesystem/magika , ✅(11s) 
 filesystem/duf , ✅(2s) 
 filesystem/rclone , ✅(3s) 
 filesystem/gdu , ✅(2s) 
 filesystem/ranger , ❌(smoke) 
 package-manager/pnpm , ✅(4s) 
 package-manager/luarocks , ✅(4s) 
 network/gallery-dl , ✅(5s) 
 network/frp , ✅(2s) 
 network/localtunnel , ✅(1s) 
 network/httpie , ✅(6s) 
 network/xh , ✅(1s) 
 network/magic-wormhole , ✅(22s) 
 network/curl , ✅(0s) 
 network/webtorrent-cli , ✅(9s) 
 network/speedtest-cli , ✅(14s) 
 network/nmap , ✅(2s) 
 network/json-server , ✅(3s) 
 network/you-get , ✅(4s) 
 network/is-up-cli , ✅(3s) 
 network/nico , ✅(1s) 
 network/serviceman , ✅(2s) 
 network/miniserve , ✅(1s) 
 network/icloudpd , ✅(13s) 
 network/ttyd , ✅(2s) 
 network/gost , ✅(2s) 
 network/yt-dlp , ✅(7s) 
 network/bandwhich , ✅(2s) 
 network/ddgr , ✅(4s) 
 network/traceroute , ✅(1s) 
 network/termshark , ❌(smoke) 
 network/chisel , ✅(3s) 
 network/httpx , ✅(14s) 
 network/trippy , ❌(smoke) 
 network/youtube-dl , ✅(5s) 
 network/ncat , ✅(2s) 
 network/t-get , ❌(env_try) 
 network/grpcurl , ✅(2s) 
 network/mosquitto , ✅(2s) 
 network/tproxy , ✅(2s) 
 network/ffuf , ✅(2s) 
 network/duckduckgo_search , ✅(6s) 
 network/wuzz , ✅(1s) 
 network/mitmproxy , ✅(12s) 
 network/public-ip-cli , ✅(5s) 
 network/benthos , ✅(5s) 
 network/zoro , ✅(2s) 
 network/q , ✅(2s) 
 network/mkcert , ✅(2s) 
 network/wetty , ✅(9s) 
 network/gping , ✅(1s) 
 network/croc , ✅(1s) 
 network/aria2 , ✅(4s) 
 network/hurl , ✅(2s) 
 network/tun2brook , ❌(env_try) 
 network/shadowsocks-rust , ✅(1s) 
 network/nping , ✅(1s) 
 network/socat , ✅(2s) 
 network/websocat , ✅(2s) 
 network/bore , ✅(1s) 
 network/doggo , ✅(2s) 
 network/fast-cli , ✅(10s) 
 network/curlie , ❌(smoke) 
 network/ipatool , ✅(2s) 
 network/is-online-cli , ✅(4s) 
 template/yo , ✅(12s) 
 template/hygen , ✅(2s) 
 ai/gptui , ❌(smoke) 
 ai/llm , ✅(9s) 
 ai/huggingface , ✅(6s) 
 ai/gpt-engineer , ❌(smoke) 
 ai/chatgpt , ✅(2s) 
 ai/whispercpp , ✅(2s) 
 ai/catai , ❌(env_try) 
 ai/how2 , ✅(4s) 
 ai/chatblade , ✅(12s) 
 ai/gptscript , ✅(2s) 
 ai/open-interpreter , ✅(30s) 
 ai/aichat , ✅(2s) 
 osman/pm2 , ✅(6s) 
 osman/hugo , ✅(3s) 
 osman/proot , ✅(2s) 
 osman/tunasync , ✅(3s) 
 osman/easyrsa , ✅(1s) 
 osman/bottom , ✅(2s) 
 osman/gotop , ✅(2s) 
 osman/mirrord , ✅(2s) 
 osman/ismc , - 
 osman/etcd , ✅(3s) 
 osman/glances , ✅(5s) 
 osman/zola , ✅(2s) 
 osman/macchina , ✅(2s) 
 osman/nerdctl , ✅(2s) 
 osman/fkill-cli , ✅(6s) 
 osman/procs , ✅(1s) 
 osman/dry , ✅(2s) 
 osman/viddy , ✅(2s) 
 osman/obs , ✅(2s) 
 osman/gopass , ✅(2s) 
 osman/cfssl , ✅(2s) 
 osman/iamlive , ✅(2s) 
 osman/hostctl , ✅(1s) 
 osman/bpytop , ✅(12s) 
 osman/nfpm , ✅(2s) 
 iac/pyinfra , ✅(9s) 
 iac/ansible , ✅(26s) 
 iac/opentofu , ✅(3s) 
 iac/dagger , ✅(2s) 
 iac/python-openstackclient , ✅(15s) 
 iac/terraform , ✅(3s) 
 iac/heroku , ✅(24s) 
 build/cmake , ✅(5s) 
 python/copier , ❌(smoke) 
 python/cookiecutter , ✅(6s) 
 python/miniconda , ✅(1s) 
 python/marimo , ✅(9s) 
 python/bowler , ✅(6s) 
 python/kanban-python , ✅(5s) 
 python/pipx , ✅(4s) 
 python/pywal , ✅(5s) 
 python/doit , ✅(4s) 
 python/invoke , ✅(5s) 
 python/cruft , ✅(7s) 
 python/rebound-cli , ✅(13s) 
 python/pypy , ✅(15s) 
 virtualization/lima , ✅(4s) 
 wasm/wasmedge , ✅(3s) 
 wasm/wasmtime , ✅(3s) 
 wasm/wabt , ✅(2s) 
 wasm/wasm-tools , ✅(2s) 
 wasm/wasmer , ✅(4s) 
 wasm/jco , ✅(6s) 
 multimedia/magick , ✅(1s) 
 multimedia/ocrmypdf , ✅(10s) 
 multimedia/pdfcpu , ✅(2s) 
