 network/localtunnel , ✅(2s) 
 network/croc , ✅(3s) 
 network/serviceman , ✅(2s) 
 network/curl , ✅(0s) 
 network/httpx , ✅(10s) 
 network/wetty , ❌(env_try) 
 network/speedtest-cli , ✅(23s) 
 network/zoro , ✅(2s) 
 network/frp , ✅(3s) 
 network/chisel , ✅(2s) 
 network/nico , ✅(3s) 
 network/ffuf , ✅(2s) 
 network/gping , ✅(2s) 
 network/websocat , ✅(2s) 
 network/trippy , ❌(smoke) 
 network/youtube-dl , ✅(24s) 
 network/httpie , ✅(11s) 
 network/bandwhich , ✅(2s) 
 network/traceroute , - 
 network/socat , ✅(3s) 
 network/ttyd , ❌(smoke) 
 network/ddgr , ✅(5s) 
 network/nmap , ✅(3s) 
 network/tproxy , ✅(1s) 
 network/benthos , ✅(5s) 
 network/you-get , ✅(6s) 
 network/q , ✅(3s) 
 network/tun2brook , ❌(env_try) 
 network/icloudpd , ✅(9s) 
 network/is-up-cli , ✅(9s) 
 network/hurl , ✅(3s) 
 other/nasa-cli , ✅(5s) 
 plugin/zsh-plugin , ✅(2s) 
 plugin/sqlite-vss , ❌(smoke) 
 plugin/sqlite-xsv , ❌(smoke) 
 plugin/sqlite-simple , ❌(smoke) 
 template/hygen , ✅(4s) 
 template/yo , ✅(26s) 
 terminal/keep , ✅(27s) 
 terminal/terminal-image-cli , ✅(7s) 
 terminal/comrak , ✅(2s) 
 terminal/norwegianblue , ✅(9s) 
 terminal/thefuck , ✅(7s) 
 terminal/gum , ✅(3s) 
 terminal/doitlive , ✅(7s) 
 terminal/genact , ✅(2s) 
 terminal/concurrently , ✅(22s) 
 terminal/fx , ✅(3s) 
 terminal/tmuxp , ✅(8s) 
 terminal/invoke , ✅(6s) 
 terminal/nb.sh , ✅(3s) 
 terminal/easy-sharing , ✅(5s) 
 terminal/asciigraph , ✅(2s) 
 terminal/ov , ✅(2s) 
 terminal/viddy , ✅(2s) 
 terminal/vhs , ❌(env_try) 
 terminal/howdoi , ✅(12s) 
 terminal/navi , ✅(2s) 
 terminal/cookiecutter , ✅(10s) 
 terminal/doit , ✅(7s) 
 terminal/percol , ✅(7s) 
 terminal/envsubst , ✅(2s) 
 terminal/bpytop , ✅(6s) 
 terminal/sncli , ✅(8s) 
 terminal/taskbook , ✅(4s) 
 terminal/zenith , ✅(2s) 
 terminal/mapscii , ✅(3s) 
 terminal/ngxtop , ✅(24s) 
 terminal/zellij , ✅(2s) 
 terminal/asciinema , ✅(6s) 
 terminal/dnote , ✅(3s) 
 terminal/tmux , ✅(1s) 
 terminal/copier , ✅(11s) 
 terminal/shtris , ✅(2s) 
 terminal/bcat , ✅(8s) 
 terminal/emoj , ✅(6s) 
 terminal/direnv , ✅(3s) 
 terminal/chatgpt , ✅(2s) 
 terminal/jupyterlab , ✅(25s) 
 terminal/helix , ✅(4s) 
 terminal/rebound-cli , ✅(8s) 
 terminal/ulp , ❌(smoke) 
 terminal/sops , ✅(3s) 
 terminal/wait-on , ✅(4s) 
 terminal/concat-md , ✅(8s) 
 terminal/kanban-python , ✅(7s) 
 terminal/gotop , ❌(smoke) 
 terminal/buku , ❌(smoke) 
 terminal/watchexec , ✅(3s) 
 terminal/carbonyl , ✅(6s) 
 terminal/bottom , ✅(2s) 
 terminal/peco , ✅(3s) 
 terminal/fzf , ✅(2s) 
 terminal/glances , ✅(7s) 
 terminal/td-cli , ✅(6s) 
 terminal/invoice , ✅(3s) 
 terminal/gotty , ❌(smoke) 
 filesystem/tokei , ✅(2s) 
 filesystem/syncthing , ✅(3s) 
 filesystem/fselect , - 
 filesystem/dust , ✅(2s) 
 filesystem/ranger , ❌(smoke) 
 filesystem/ismc , ✅(3s) 
 filesystem/broot , - 
 filesystem/rclone , ✅(4s) 
 filesystem/ncp , ✅(6s) 
 filesystem/trash-cli , ✅(9s) 
 filesystem/diskusage , ✅(2s) 
 filesystem/fd , ✅(2s) 
 filesystem/magika , ✅(17s) 
 filesystem/gdu , ✅(3s) 
 filesystem/yazi , ✅(2s) 
 filesystem/hexyl , ✅(2s) 
 filesystem/qrcp , ✅(3s) 
 filesystem/ncdu , - 
 filesystem/ffsend , ✅(1s) 
 filesystem/scc , ✅(2s) 
 filesystem/lf , ✅(2s) 
 filesystem/godu , ✅(2s) 
 filesystem/dua , ✅(2s) 
 filesystem/duf , ✅(2s) 
 cicd/act , ✅(3s) 
 cicd/act_runner , ✅(5s) 
 lang/deno , ✅(3s) 
 lang/zig , ✅(11s) 
 lang/arturo , ✅(2s) 
 lang/go , ✅(9s) 
 lang/wasmtime , ✅(3s) 
 lang/python , ✅(10s) 
 lang/tsx , ✅(4s) 
 lang/perl , ✅(3s) 
 lang/rust , ✅(55s) 
 lang/ts-node , ❌(env_try) 
 lang/java , ✅(3s) 
 lang/kotlin , ✅(5s) 
 lang/bun , ❌(smoke) 
 lang/lua , ✅(2s) 
 lang/goreleaser , ✅(3s) 
 lang/wasmer , ✅(7s) 
 lang/scala , ✅(4s) 
 lang/d2 , ✅(3s) 
 lang/julia , ✅(8s) 
 lang/groovy , ✅(4s) 
 lang/tinygo , ✅(12s) 
 lang/raku , ✅(3s) 
 lang/node , ✅(10s) 
 lang/mawk , ✅(2s) 
 container/kube-score , ✅(2s) 
 container/bwrap , - 
 container/kube-linter , ✅(3s) 
 container/k3d , ✅(3s) 
 container/minikube , ✅(4s) 
 container/kube-capacity , ✅(3s) 
 container/dive , ✅(2s) 
 container/slick , ✅(3s) 
 container/kind , ✅(2s) 
 container/lazydocker , ✅(2s) 
 container/syft , ✅(2s) 
 container/cosign , ✅(5s) 
 container/k9s , ✅(4s) 
 container/kubectx , ✅(2s) 
 container/copacetic , ✅(4s) 
 container/slim , ✅(5s) 
 container/wasmedge , ✅(5s) 
 container/helm , ✅(3s) 
 container/ctop , ✅(2s) 
 webserver/dufs , ✅(3s) 
 webserver/playwright , ✅(6s) 
 webserver/browser-run , ✅(14s) 
 webserver/capture-website-cli , ✅(22s) 
 webserver/serve , ✅(4s) 
 webserver/nodemon , ✅(3s) 
 webserver/caddy , ✅(2s) 
 ssh/xxh-xxh , ✅(22s) 
 ssh/ssh-audit , ✅(5s) 
 ssh/assh , ✅(2s) 
 iac/terraform , ✅(4s) 
 iac/heroku , ✅(45s) 
 iac/dagger , ✅(3s) 
 iac/ansible , ✅(40s) 
 iac/pyinfra , ✅(114s) 
 iac/scw , ❌(smoke) 
 iac/python-openstackclient , ✅(21s) 
 ai/llm , ✅(16s) 
 ai/gpt-engineer , ✅(29s) 
 ai/whispercpp , ✅(3s) 
 ai/gptscript , ✅(2s) 
 ai/gptui , ❌(smoke) 
 ai/chatblade , ✅(18s) 
 ai/aichat , ✅(2s) 
 ai/huggingface , ✅(9s) 
 ai/open-interpreter , ✅(57s) 
 ai/how2 , ✅(11s) 
 cloud/gcloud , ✅(19s) 
 cloud/tccli , ✅(31s) 
 cloud/gobackup , ✅(2s) 
 cloud/doctl , ✅(4s) 
 cloud/qshell , ✅(5s) 
 cloud/ibmcloud , ✅(3s) 
 cloud/influx , ✅(3s) 
 cloud/azure-cli , ✅(84s) 
 cloud/aliyun , ✅(3s) 
 cloud/create-cloudflare , ✅(3s) 
 cloud/wrangler , ✅(9s) 
 cloud/s4cmd , ✅(10s) 
 cloud/cloudlist , ✅(3s) 
 cloud/linode-cli , ✅(9s) 
 cloud/ucloud , ✅(3s) 
 cloud/awscli , ✅(13s) 
 cloud/influxdb , ✅(9s) 
 cloud/oci-cli , ✅(47s) 
 cloud/qingcloud-cli , ✅(8s) 
 cloud/vultr-cli , ✅(2s) 
 cloud/s3cmd , ✅(6s) 
 cloud/flarectl , ✅(2s) 
 cloud/jdcloud_cli , ✅(27s) 
 cloud/athenacli , ✅(12s) 
 cloud/koocli , ✅(4s) 
 cloud/drive , ✅(3s) 
 cloud/firebase-tools , ✅(19s) 
 cloud/hcloud , ✅(3s) 
 multimedia/agg , ✅(2s) 
 multimedia/video-to-ascii , ❌(smoke) 
 multimedia/ffmpeg , ✅(7s) 
 multimedia/mystmd , ✅(8s) 
 multimedia/pageres-cli , ✅(28s) 
 multimedia/ascii-image-converter , ✅(3s) 
 multimedia/termsvg , ✅(2s) 
 multimedia/pdfcpu , ✅(3s) 
 multimedia/face_recognition , ✅(380s) 
 multimedia/beets , ✅(9s) 
 multimedia/editly , ❌(env_try) 
 multimedia/gifski , - 
 multimedia/carbon-now-cli , ❌(smoke) 
 multimedia/mermaid-cli , ✅(11s) 
 multimedia/ocrmypdf , ✅(15s) 
 multimedia/qpdf , - 
 multimedia/magick , ❌(smoke) 
 multimedia/themer , ✅(5s) 
 db/mycli , ✅(11s) 
 db/xlsxsql , ✅(3s) 
 db/mssql-cli , ❌(smoke) 
 db/mdtsql , ✅(3s) 
 db/pgcli , ✅(9s) 
 db/iredis , ✅(11s) 
 db/harlequin , ✅(20s) 
 db/psutilsql , ✅(4s) 
 db/sqlite3 , ✅(1s) 
 db/mysql , ✅(12s) 
 db/litecli , ✅(8s) 
 db/anidbcli , ✅(9s) 
 db/mkdocs , ✅(7s) 
 db/datasette , ✅(9s) 
 db/atuin , ✅(3s) 
 data/minify , ✅(2s) 
 data/unoconv , ❌(smoke) 
 data/7zz , ✅(2s) 
 data/diffoscope , ❌(smoke) 
 data/7za , ✅(0s) 
 data/micro , - 
 data/sd , ✅(2s) 
 data/yq , ✅(1s) 
 data/gojq , ✅(2s) 
 data/sq , ✅(2s) 
 data/horcrux , ✅(3s) 
 data/pandoc , ✅(3s) 
 data/jqp , ✅(2s) 
 data/sqlean , ✅(2s) 
 data/kopia , ✅(3s) 
 data/monolith , - 
 data/strip-json-comments-cli , ✅(6s) 
 data/pygments , ✅(7s) 
 data/ws4sqlite , ✅(3s) 
 data/nanoid , ✅(2s) 
 data/mackup , ✅(7s) 
 data/csview , ✅(2s) 
 data/jiq , ✅(3s) 
 data/fq , ✅(2s) 
 data/unidecode , ✅(7s) 
 data/gomplate , ✅(3s) 
 data/marked , ✅(2s) 
 data/scapy , ✅(8s) 
 data/hcl2json , ✅(3s) 
 data/archiver , ✅(2s) 
 data/jless , ✅(2s) 
 data/rg , ✅(4s) 
