 file-disk/smartctl , ✅(4s) 
 file-manager/broot , ✅(6s) 
 file-manager/exa , ✅(4s) 
 file-manager/eza , ✅(5s) 
 file-manager/g , ✅(6s) 
 file-manager/lf , ✅(5s) 
 file-manager/lsd , ✅(5s) 
 file-manager/ranger , ❌(smoke) 
 file-manager/superfile , ✅(7s) 
 file-manager/xplr , - 
 file-manager/yazi , ✅(10s) 
 filesystem/bat , ✅(6s) 
 filesystem/chezmoi , ✅(11s) 
 filesystem/croc , ✅(6s) 
 filesystem/diffoscope , ❌(smoke) 
 filesystem/difft , ✅(9s) 
 filesystem/fd , ✅(6s) 
 filesystem/ffsend , ✅(7s) 
 filesystem/fselect , ✅(5s) 
 filesystem/magika , ✅(32s) 
 filesystem/ncp , ✅(23s) 
 filesystem/syncthing , ✅(9s) 
 filesystem/termscp , ✅(8s) 
 filesystem/trash-cli , ❌(smoke) 
 filesystem/unoconv , ❌(smoke) 
 filesystem/zoxide , ✅(6s) 
 finance/hledger , ✅(31s) 
 iac/dagger , ✅(10s) 
 iac/python-openstackclient , ❌(env_try) 
 journey/calcure , ❌(smoke) 
 journey/gcalcli , ✅(28s) 
 journey/khal , ✅(18s) 
 journey/pueue , ✅(6s) 
 journey/taskbook , ❌(env_try) 
 journey/td-cli , ❌(smoke) 
 lang/arturo , ✅(6s) 
 lang/d2 , ✅(12s) 
 lang/go , ✅(24s) 
 lang/gop , ✅(30s) 
 lang/groovy , ✅(18s) 
 lang/java , ✅(1s) 
 lang/julia , ✅(13s) 
 lang/kotlin , ✅(11s) 
 lang/lua , ✅(7s) 
 lang/mawk , ✅(5s) 
 lang/python , ✅(48s) 
 lang/scala , ✅(7s) 
 lang/tinygo , ✅(46s) 
 lang/xgo , ✅(11s) 
 lang/zig , ✅(45s) 
 lang-js-ts/bun , ✅(25s) 
 lang-js-ts/concurrently , ✅(25s) 
 lang-js-ts/deno , ✅(7s) 
 lang-js-ts/eslint , ❌(smoke) 
 lang-js-ts/hint , ✅(149s) 
 lang-js-ts/node , ✅(28s) 
 lang-js-ts/nodemon , ✅(9s) 
 lang-js-ts/pm2 , ✅(47s) 
 lang-js-ts/ts-node , ✅(17s) 
 lang-js-ts/tsx , ✅(7s) 
 lang-perl-raku/perl , ✅(27s) 
