 network/nping , ✅(3s) 
 network/xh , - 
 network/localtunnel , ✅(1s) 
 network/croc , ✅(2s) 
 network/serviceman , ❌(env_try) 
 network/curl , ✅(0s) 
 network/httpx , ✅(5s) 
 network/wetty , ❌(env_try) 
 network/speedtest-cli , ✅(15s) 
 network/zoro , ✅(2s) 
 network/frp , ✅(3s) 
 network/chisel , ✅(3s) 
 network/nico , ✅(4s) 
 network/ffuf , ✅(2s) 
 network/gping , - 
 network/websocat , ✅(1s) 
 network/trippy , ❌(smoke) 
 network/youtube-dl , ✅(13s) 
 network/httpie , ✅(4s) 
 network/bandwhich , ✅(2s) 
 network/traceroute , - 
 network/socat , ✅(2s) 
 network/ttyd , ❌(smoke) 
 network/ddgr , ✅(3s) 
 network/nmap , ✅(3s) 
 network/tproxy , ✅(1s) 
 network/benthos , ✅(5s) 
 network/you-get , ✅(3s) 
 network/q , ✅(2s) 
 network/tun2brook , ❌(env_try) 
 network/icloudpd , ✅(9s) 
 network/is-up-cli , ✅(5s) 
 network/hurl , ✅(2s) 
 wasm/wasm-tools , ✅(2s) 
 wasm/wasmtime , ✅(3s) 
 wasm/wasmer , ✅(5s) 
 wasm/jco , ✅(5s) 
 wasm/wasmedge , ✅(4s) 
 wasm/wabt , - 
 other/keep , ✅(5s) 
 other/bash-preexec , ❌(smoke) 
 other/comrak , ✅(2s) 
 other/shx , ✅(1s) 
 other/tmuxp , ✅(5s) 
 other/nb.sh , ✅(2s) 
 other/shelljs , ✅(2s) 
 other/howdoi , ✅(15s) 
 other/envsubst , ✅(2s) 
 other/nasa-cli , ✅(3s) 
 other/sncli , ✅(4s) 
 other/mapscii , ✅(3s) 
 other/pathman , ✅(1s) 
 other/ngxtop , ✅(3s) 
 other/bcat , ✅(3s) 
 other/emoj , ✅(3s) 
 other/jupyterlab , ✅(10s) 
 other/ulp , ❌(smoke) 
 other/wait-on , ✅(2s) 
 other/concat-md , ✅(5s) 
 other/funky , ✅(3s) 
 other/watchexec , ✅(2s) 
 plugin/zsh-plugin , ✅(2s) 
 plugin/sqlite-vss , ❌(smoke) 
 plugin/sqlite-xsv , ❌(smoke) 
 plugin/sqlite-simple , - 
 template/hygen , ✅(2s) 
 template/yo , ✅(8s) 
 terminal/gum , ✅(2s) 
 terminal/asciigraph , ✅(2s) 
 terminal/wtfutil , ✅(2s) 
 terminal/percol , ✅(3s) 
 terminal/zenith , ✅(2s) 
 terminal/peco , ✅(2s) 
 terminal/fzf , ✅(1s) 
 filesystem/tokei , ✅(2s) 
 filesystem/syncthing , ✅(3s) 
 filesystem/fselect , - 
